Time,BC-US Actual,BC-AB Actual
2020-03-04 23:15:00,315.19293212890625,199.35983276367188
2020-03-04 23:20:00,302.0390930175781,200.97972106933594
2020-03-04 23:25:00,306.1768493652344,214.4205322265625
2020-03-04 23:30:00,346.73980712890625,187.6800537109375
2020-03-04 23:35:00,343.7577819824219,204.900634765625
2020-03-04 23:40:00,369.4464111328125,205.3807373046875
2020-03-04 23:45:00,378.2742614746094,203.15982055664062
2020-03-04 23:50:00,404.0416564941406,209.4807586669922
2020-03-04 23:55:00,470.4281005859375,211.40013122558594
2020-03-05 00:00:00,563.0350341796875,222.34010314941406
2020-03-05 00:05:00,641.1815795898438,205.08091735839844
2020-03-05 00:10:00,682.0343627929688,193.5605010986328
2020-03-05 00:15:00,709.931396484375,206.3008270263672
2020-03-05 00:20:00,746.3134765625,186.4198455810547
2020-03-05 00:25:00,757.7757568359375,221.2406005859375
2020-03-05 00:30:00,727.308349609375,235.24044799804688
2020-03-05 00:35:00,860.6270141601562,199.28005981445312
2020-03-05 00:40:00,870.522216796875,181.47988891601562
2020-03-05 00:45:00,849.2383422851562,208.74026489257812
2020-03-05 00:50:00,833.6284790039062,213.5406036376953
2020-03-05 00:55:00,724.377197265625,233.42071533203125
2020-03-05 01:00:00,539.988525390625,223.54026794433594
2020-03-05 01:05:00,447.4702453613281,203.06016540527344
2020-03-05 01:10:00,270.4105224609375,243.96051025390625
2020-03-05 01:15:00,241.83506774902344,254.4207000732422
2020-03-05 01:20:00,219.2171173095703,274.4800720214844
2020-03-05 01:25:00,198.53176879882812,267.7800598144531
2020-03-05 01:30:00,188.38232421875,292.98040771484375
2020-03-05 01:35:00,250.23178100585938,277.2997741699219
2020-03-05 01:40:00,226.76437377929688,260.5601501464844
2020-03-05 01:45:00,228.35154724121094,267.9800720214844
2020-03-05 01:50:00,301.7599792480469,270.6795349121094
2020-03-05 01:55:00,332.2651062011719,256.1994323730469
2020-03-05 02:00:00,320.0683898925781,266.6198425292969
2020-03-05 02:05:00,316.99951171875,252.17938232421875
2020-03-05 02:10:00,356.0555725097656,231.37954711914062
2020-03-05 02:15:00,335.66839599609375,220.25914001464844
2020-03-05 02:20:00,356.7555847167969,191.29859924316406
2020-03-05 02:25:00,283.424072265625,205.25914001464844
2020-03-05 02:30:00,249.392578125,196.92002868652344
2020-03-05 02:35:00,265.2797546386719,223.39927673339844
2020-03-05 02:40:00,251.10906982421875,228.1593017578125
2020-03-05 02:45:00,258.8812255859375,229.77972412109375
2020-03-05 02:50:00,263.0566711425781,198.05931091308594
2020-03-05 02:55:00,249.75814819335938,241.419677734375
2020-03-05 03:00:00,300.86328125,242.93907165527344
2020-03-05 03:05:00,349.3834228515625,196.7388916015625
2020-03-05 03:10:00,350.8834228515625,199.2395782470703
2020-03-05 03:15:00,373.09002685546875,193.65879821777344
2020-03-05 03:20:00,417.07391357421875,173.7589569091797
2020-03-05 03:25:00,421.53619384765625,155.0596466064453
2020-03-05 03:30:00,369.7424011230469,196.43942260742188
2020-03-05 03:35:00,375.934326171875,185.9185028076172
2020-03-05 03:40:00,408.68853759765625,152.09910583496094
2020-03-05 03:45:00,437.05450439453125,130.3982391357422
2020-03-05 03:50:00,475.4541320800781,160.37921142578125
2020-03-05 03:55:00,537.4295654296875,200.75999450683594
2020-03-05 04:00:00,700.9105224609375,246.63975524902344
2020-03-05 04:05:00,796.9222412109375,300.5406188964844
2020-03-05 04:10:00,884.7240600585938,343.7807312011719
2020-03-05 04:15:00,912.1669311523438,315.9606628417969
2020-03-05 04:20:00,941.39111328125,321.76068115234375
2020-03-05 04:25:00,976.7684326171875,315.6608581542969
2020-03-05 04:30:00,952.4090576171875,308.5001220703125
2020-03-05 04:35:00,897.388916015625,326.98126220703125
2020-03-05 04:40:00,872.5152587890625,334.9011535644531
2020-03-05 04:45:00,898.4365234375,358.0414733886719
2020-03-05 04:50:00,939.1647338867188,327.2409362792969
2020-03-05 04:55:00,925.1009521484375,345.540771484375
2020-03-05 05:00:00,955.0680541992188,382.8014831542969
2020-03-05 05:05:00,1168.0189208984375,316.4208984375
2020-03-05 05:10:00,1193.6717529296875,326.6610412597656
2020-03-05 05:15:00,1227.5947265625,331.7212219238281
2020-03-05 05:20:00,1167.730712890625,338.1613464355469
2020-03-05 05:25:00,1131.802490234375,337.2008056640625
