Date,BC-US net actual flow,BC-AB net actual flow
2020-03-23 06:40:00,228.47792053222656,371.0865783691406
2020-03-23 06:45:00,145.9478759765625,427.5466003417969
2020-03-23 06:50:00,206.60577392578125,392.80560302734375
2020-03-23 06:55:00,231.6028289794922,398.3052673339844
2020-03-23 07:00:00,182.85191345214844,418.02484130859375
2020-03-23 07:05:00,117.0020980834961,436.7054443359375
2020-03-23 07:10:00,60.4130859375,416.0656433105469
2020-03-23 07:15:00,44.772064208984375,387.32550048828125
2020-03-23 07:20:00,56.242759704589844,369.1651306152344
2020-03-23 07:25:00,13.755579948425293,394.6051025390625
2020-03-23 07:30:00,-30.918411254882812,405.7851867675781
2020-03-23 07:35:00,-25.459074020385742,404.40594482421875
2020-03-23 07:40:00,-52.457603454589844,434.26495361328125
2020-03-23 07:45:00,-10.159072875976562,435.7054443359375
2020-03-23 07:50:00,-0.0396575927734375,480.3857116699219
2020-03-23 07:55:00,-21.025005340576172,471.3658142089844
2020-03-23 08:00:00,18.447521209716797,449.88604736328125
2020-03-23 08:05:00,125.01748657226562,423.0654602050781
2020-03-23 08:10:00,138.5687713623047,341.8848571777344
2020-03-23 08:15:00,33.527374267578125,350.92498779296875
2020-03-23 08:20:00,77.43250274658203,359.3649597167969
2020-03-23 08:25:00,68.94568634033203,330.1246337890625
2020-03-23 08:30:00,31.13726234436035,368.0260314941406
2020-03-23 08:35:00,-5.505588531494141,356.3052673339844
2020-03-23 08:40:00,-8.305591583251953,312.28521728515625
2020-03-23 08:45:00,-85.78141784667969,323.3855285644531
2020-03-23 08:50:00,-360.0385437011719,337.18450927734375
2020-03-23 08:55:00,-461.81146240234375,362.06597900390625
2020-03-23 09:00:00,-464.5015563964844,370.6261901855469
2020-03-23 09:05:00,-616.7887573242188,323.82568359375
2020-03-23 09:10:00,-742.8729858398438,322.46563720703125
2020-03-23 09:15:00,-798.3436889648438,302.68536376953125
2020-03-23 09:20:00,-730.6055908203125,275.52447509765625
2020-03-23 09:25:00,-695.2381591796875,271.9248046875
2020-03-23 09:30:00,-803.5535888671875,283.90509033203125
2020-03-23 09:35:00,-824.4685668945312,274.46441650390625
2020-03-23 09:40:00,-830.3652954101562,276.76458740234375
2020-03-23 09:45:00,-835.4572143554688,277.2244567871094
